Ref ID,Date,ppm,Rep,Plate,Row,Column,Total,Dead,Alive,Media,Notes,% Mortality
96A,09/24/2021,8.0,1,3,1,1,7,6,1,LM (T),,86%
96A,09/24/2021,4.0,1,3,1,2,5,3,2,LM (T),,60%
96A,09/24/2021,2.0,1,3,1,3,9,8,1,LM (T),,89%
96A,09/24/2021,1.0,1,3,1,4,8,7,1,LM (T),,87%
96A,09/24/2021,0.5,1,3,1,5,6,3,3,LM (T),,50%
96A,09/24/2021,0.25,1,3,1,6,8,1,7,LM (T),,12%
96A,09/24/2021,0.125,1,3,1,7,15,1,14,LM (T),,7%
96A,09/24/2021,0.0625,1,3,1,8,6,0,6,LM (T),,0%
96A,09/24/2021,0.03125,1,3,1,9,6,0,6,LM (T),,0%
96A,09/24/2021,0.015625,1,3,1,10,4,3,1,LM (T),Low worm count. ,75%
VC,09/24/2021,0,1,3,1,12,7,0,7,LM (T),,0%
96C,09/24/2021,16.0,1,3,2,1,7,7,0,LM (T),,100%
96C,09/24/2021,8.0,1,3,2,2,4,4,0,LM (T),Low worm count. ,100%
96C,09/24/2021,4.0,1,3,2,3,5,5,0,LM (T),,100%
96C,09/24/2021,2.0,1,3,2,4,6,5,1,LM (T),7 artifacts,83%
96C,09/24/2021,1.0,1,3,2,5,8,8,0,LM (T),,100%
96C,09/24/2021,0.5,1,3,2,6,3,3,0,LM (T),Low worm count. ,100%
96C,09/24/2021,0.25,1,3,2,7,8,8,0,LM (T),,100%
96C,09/24/2021,0.125,1,3,2,8,8,8,0,LM (T),,100%
96C,09/24/2021,0.0625,1,3,2,9,4,2,2,LM (T),Low worm count. ,50%
96C,09/24/2021,0.03125,1,3,2,10,7,2,5,LM (T),,29%
VC,09/24/2021,0,1,3,2,12,20,0,20,LM (T),,0%
96F,09/24/2021,8.0,1,3,3,1,11,11,0,LM (T),,100%
96F,09/24/2021,4.0,1,3,3,2,14,13,1,LM (T),,93%
96F,09/24/2021,2.0,1,3,3,3,4,4,0,LM (T),Low worm count. ,100%
96F,09/24/2021,1.0,1,3,3,4,7,7,0,LM (T),,100%
96F,09/24/2021,0.5,1,3,3,5,5,5,0,LM (T),,100%
96F,09/24/2021,0.25,1,3,3,6,9,7,2,LM (T),,78%
96F,09/24/2021,0.125,1,3,3,7,7,3,4,LM (T),,43%
96F,09/24/2021,0.0625,1,3,3,8,8,1,7,LM (T),,12%
96F,09/24/2021,0.03125,1,3,3,9,9,2,7,LM (T),,22%
96F,09/24/2021,0.015625,1,3,3,10,8,0,8,LM (T),,0%
VC,09/24/2021,0,1,3,3,12,9,4,5,LM (T),High control mortality. ,44%
96J,09/24/2021,8.0,1,3,4,1,3,3,0,LM (T),Low worm count. ,100%
96J,09/24/2021,4.0,1,3,4,2,12,12,0,LM (T),,100%
96J,09/24/2021,2.0,1,3,4,3,5,5,0,LM (T),,100%
96J,09/24/2021,1.0,1,3,4,4,4,4,0,LM (T),Low worm count. ,100%
96J,09/24/2021,0.5,1,3,4,5,8,5,3,LM (T),,62%
96J,09/24/2021,0.25,1,3,4,6,9,4,5,LM (T),,44%
96J,09/24/2021,0.125,1,3,4,7,8,2,6,LM (T),,25%
96J,09/24/2021,0.0625,1,3,4,8,7,0,7,LM (T),,0%
96J,09/24/2021,0.03125,1,3,4,9,7,0,7,LM (T),,0%
96J,09/24/2021,0.015625,1,3,4,10,10,0,10,LM (T),,0%
VC,09/24/2021,0,1,3,4,12,11,3,8,LM (T),High control mortality. ,27%
