Ref ID,Date,ppm,Rep,Plate,Row,Column,Total,Dead,Alive,Media,Notes,% Mortality
96A,09/21/2021,8.0,1,2,1,1,7,7,0,LM (T),,100%
96A,09/21/2021,4.0,1,2,1,2,10,10,0,LM (T),,100%
96A,09/21/2021,2.0,1,2,1,3,9,7,2,LM (T),,78%
96A,09/21/2021,1.0,1,2,1,4,9,9,0,LM (T),,100%
96A,09/21/2021,0.5,1,2,1,5,8,8,0,LM (T),,100%
96A,09/21/2021,0.25,1,2,1,6,7,6,1,LM (T),,86%
96A,09/21/2021,0.125,1,2,1,7,10,10,0,LM (T),,100%
96A,09/21/2021,0.0625,1,2,1,8,5,4,1,LM (T),,80%
96A,09/21/2021,0.03125,1,2,1,9,5,0,5,LM (T),,0%
96A,09/21/2021,0.015625,1,2,1,10,8,2,6,LM (T),,25%
VC,09/21/2021,0,1,2,1,12,8,4,4,LM (T),High control mortality. ,50%
96C,09/21/2021,16.0,1,2,2,1,6,5,1,LM (T),,83%
96C,09/21/2021,8.0,1,2,2,2,7,7,0,LM (T),,100%
96C,09/21/2021,4.0,1,2,2,3,5,5,0,LM (T),,100%
96C,09/21/2021,2.0,1,2,2,4,9,9,0,LM (T),,100%
96C,09/21/2021,1.0,1,2,2,5,9,9,0,LM (T),,100%
96C,09/21/2021,0.5,1,2,2,6,3,3,0,LM (T),Low worm count. ,100%
96C,09/21/2021,0.25,1,2,2,7,6,2,4,LM (T),,33%
96C,09/21/2021,0.125,1,2,2,8,6,0,6,LM (T),,0%
96C,09/21/2021,0.0625,1,2,2,9,8,1,7,LM (T),,12%
96C,09/21/2021,0.03125,1,2,2,10,7,2,5,LM (T),,29%
VC,09/21/2021,0,1,2,2,12,12,0,12,LM (T),,0%
96F,09/21/2021,8.0,1,2,3,1,7,2,5,LM (T),,29%
96F,09/21/2021,4.0,1,2,3,2,9,0,9,LM (T),,0%
96F,09/21/2021,2.0,1,2,3,3,9,0,9,LM (T),,0%
96F,09/21/2021,1.0,1,2,3,4,10,2,8,LM (T),,20%
96F,09/21/2021,0.5,1,2,3,5,7,1,6,LM (T),,14%
96F,09/21/2021,0.25,1,2,3,6,10,2,8,LM (T),,20%
96F,09/21/2021,0.125,1,2,3,7,5,1,4,LM (T),,20%
96F,09/21/2021,0.0625,1,2,3,8,11,2,9,LM (T),,18%
96F,09/21/2021,0.03125,1,2,3,9,6,3,3,LM (T),,50%
96F,09/21/2021,0.015625,1,2,3,10,6,2,4,LM (T),,33%
VC,09/21/2021,0,1,2,3,12,7,3,4,LM (T),High control mortality. ,43%
96J,09/21/2021,8.0,1,2,4,1,6,5,1,LM (T),,83%
96J,09/21/2021,4.0,1,2,4,2,6,2,4,LM (T),,33%
96J,09/21/2021,2.0,1,2,4,3,9,8,1,LM (T),,89%
96J,09/21/2021,1.0,1,2,4,4,8,2,6,LM (T),,25%
96J,09/21/2021,0.5,1,2,4,5,9,5,4,LM (T),,56%
96J,09/21/2021,0.25,1,2,4,6,7,0,7,LM (T),,0%
96J,09/21/2021,0.125,1,2,4,7,8,0,8,LM (T),,0%
96J,09/21/2021,0.0625,1,2,4,8,8,3,5,LM (T),,37%
96J,09/21/2021,0.03125,1,2,4,9,5,0,5,LM (T),,0%
96J,09/21/2021,0.015625,1,2,4,10,3,1,2,LM (T),Low worm count. ,33%
VC,09/21/2021,0,1,2,4,12,22,5,17,LM (T),,23%
96M,09/21/2021,8.0,1,2,5,1,6,2,4,LM (T),,33%
96M,09/21/2021,4.0,1,2,5,2,16,5,11,LM (T),,31%
96M,09/21/2021,2.0,1,2,5,3,6,1,5,LM (T),,17%
96M,09/21/2021,1.0,1,2,5,4,12,0,12,LM (T),,0%
96M,09/21/2021,0.5,1,2,5,5,6,2,4,LM (T),,33%
96M,09/21/2021,0.25,1,2,5,6,11,3,8,LM (T),,27%
96M,09/21/2021,0.125,1,2,5,7,6,1,5,LM (T),,17%
96M,09/21/2021,0.0625,1,2,5,8,7,2,5,LM (T),,29%
96M,09/21/2021,0.03125,1,2,5,9,8,1,7,LM (T),,12%
96M,09/21/2021,0.015625,1,2,5,10,6,1,5,LM (T),,17%
VC,09/21/2021,0,1,2,5,12,7,1,6,LM (T),,14%
96Q,09/21/2021,4.0,1,2,6,1,7,7,0,LM (T),,100%
96Q,09/21/2021,2.0,1,2,6,2,7,6,1,LM (T),,86%
96Q,09/21/2021,1.0,1,2,6,3,7,6,1,LM (T),,86%
96Q,09/21/2021,0.5,1,2,6,4,13,11,2,LM (T),,85%
96Q,09/21/2021,0.25,1,2,6,5,7,6,1,LM (T),,86%
96Q,09/21/2021,0.125,1,2,6,6,5,2,3,LM (T),,40%
96Q,09/21/2021,0.0625,1,2,6,7,7,2,5,LM (T),,29%
96Q,09/21/2021,0.03125,1,2,6,8,5,0,5,LM (T),,0%
96Q,09/21/2021,0.015625,1,2,6,9,12,3,9,LM (T),,25%
96Q,09/21/2021,0.0078125,1,2,6,10,4,1,3,LM (T),Low worm count. ,25%
VC,09/21/2021,0,1,2,6,12,5,2,3,LM (T),High control mortality. ,40%
96T,09/21/2021,8.0,1,2,7,1,8,0,8,LM (T),,0%
96T,09/21/2021,4.0,1,2,7,2,6,0,6,LM (T),,0%
96T,09/21/2021,2.0,1,2,7,3,11,7,4,LM (T),,64%
96T,09/21/2021,1.0,1,2,7,4,6,2,4,LM (T),,33%
96T,09/21/2021,0.5,1,2,7,5,12,3,9,LM (T),,25%
96T,09/21/2021,0.25,1,2,7,6,8,7,1,LM (T),,87%
96T,09/21/2021,0.125,1,2,7,7,10,2,8,LM (T),,20%
96T,09/21/2021,0.0625,1,2,7,8,9,0,9,LM (T),,0%
96T,09/21/2021,0.03125,1,2,7,9,13,2,11,LM (T),,15%
96T,09/21/2021,0.015625,1,2,7,10,10,2,8,LM (T),,20%
VC,09/21/2021,0,1,2,7,12,9,5,4,LM (T),High control mortality. ,56%
96W,09/21/2021,4.0,1,2,8,1,5,5,0,LM (T),,100%
96W,09/21/2021,2.0,1,2,8,2,7,6,1,LM (T),,86%
96W,09/21/2021,1.0,1,2,8,3,10,5,5,LM (T),,50%
96W,09/21/2021,0.5,1,2,8,4,6,2,4,LM (T),,33%
96W,09/21/2021,0.25,1,2,8,5,10,2,8,LM (T),,20%
96W,09/21/2021,0.125,1,2,8,6,7,3,4,LM (T),,43%
96W,09/21/2021,0.0625,1,2,8,7,9,6,3,LM (T),,67%
96W,09/21/2021,0.03125,1,2,8,8,9,0,9,LM (T),,0%
96W,09/21/2021,0.015625,1,2,8,9,15,1,14,LM (T),,7%
96W,09/21/2021,0.0078125,1,2,8,10,11,3,8,LM (T),,27%
VC,09/21/2021,0,1,2,8,12,13,4,9,LM (T),High control mortality. ,31%
