Ref ID,Date,ppm,Rep,Plate,Row,Column,Total,Dead,Alive,Media,Notes,% Mortality
,07/27/2021,0.0,1,1,1,1,3,3,0,LM (T),Low worm count. ,100%
,07/27/2021,0.0,1,1,1,2,3,3,0,LM (T),Low worm count. ,100%
,07/27/2021,0.0,1,1,1,3,1,1,0,LM (T),Low worm count. ,100%
,07/27/2021,0.0,1,1,1,4,1,1,0,LM (T),Low worm count. ,100%
,07/27/2021,0.0,1,1,1,5,4,4,0,LM (T),Low worm count. ,100%
,07/27/2021,0.0,1,1,1,6,7,5,2,LM (T),,71%
,07/27/2021,0.0,1,1,1,7,6,4,2,LM (T),,67%
,07/27/2021,0.0,1,1,1,8,9,5,4,LM (T),1 egg; 3 L2 larvae; 1 aged dead larva; 1 artifact,56%
,07/27/2021,0.0,1,1,1,9,6,3,3,LM (T),,50%
,07/27/2021,0.0,1,1,1,10,13,5,8,LM (T),,38%
VC,07/27/2021,0,1,1,1,12,10,5,5,LM (T),High control mortality. ,50%
,07/27/2021,0.0,1,1,2,1,8,6,2,LM (T),,75%
,07/27/2021,0.0,1,1,2,3,5,2,3,LM (T),,40%
,07/27/2021,0.0,1,1,2,4,17,6,11,LM (T),,35%
,07/27/2021,0.0,1,1,2,5,13,2,11,LM (T),,15%
,07/27/2021,0.0,1,1,2,6,16,9,7,LM (T),,56%
,07/27/2021,0.0,1,1,2,7,5,0,5,LM (T),,0%
,07/27/2021,0.0,1,1,2,8,12,3,9,LM (T),1 egg; 2 L2 larvae; 2 aged dead larvae; 2 artifacts,25%
,07/27/2021,0.0,1,1,2,9,6,2,4,LM (T),,33%
,07/27/2021,0.0,1,1,2,10,9,3,6,LM (T),,33%
VC,07/27/2021,0,1,1,2,12,10,4,6,LM (T),High control mortality. ,40%
,07/27/2021,0.0,1,1,3,1,6,2,4,LM (T),,33%
,07/27/2021,0.0,1,1,3,2,13,1,12,LM (T),,8%
,07/27/2021,0.0,1,1,3,3,6,1,5,LM (T),,17%
,07/27/2021,0.0,1,1,3,4,19,3,16,LM (T),3 L2 larvae; 3 aged dead larvae; 4 artifacts,16%
,07/27/2021,0.0,1,1,3,5,11,1,10,LM (T),,9%
,07/27/2021,0.0,1,1,3,6,10,3,7,LM (T),,30%
,07/27/2021,0.0,1,1,3,7,6,0,6,LM (T),,0%
,07/27/2021,0.0,1,1,3,8,8,1,7,LM (T),,12%
,07/27/2021,0.0,1,1,3,9,7,2,5,LM (T),,29%
,07/27/2021,0.0,1,1,3,10,9,4,5,LM (T),,44%
VC,07/27/2021,0,1,1,3,12,10,2,8,LM (T),5 L2 larvae; 1 aged dead larva,20%
,07/27/2021,0.0,1,1,4,1,11,5,6,LM (T),,45%
,07/27/2021,0.0,1,1,4,2,10,5,5,LM (T),,50%
,07/27/2021,0.0,1,1,4,3,7,3,4,LM (T),3 L2 larvae; 2 aged dead larvae,43%
,07/27/2021,0.0,1,1,4,4,18,8,10,LM (T),,44%
,07/27/2021,0.0,1,1,4,5,5,1,4,LM (T),,20%
,07/27/2021,0.0,1,1,4,6,10,1,9,LM (T),,10%
,07/27/2021,0.0,1,1,4,7,11,4,7,LM (T),,36%
,07/27/2021,0.0,1,1,4,8,10,2,8,LM (T),,20%
,07/27/2021,0.0,1,1,4,9,10,0,10,LM (T),,0%
,07/27/2021,0.0,1,1,4,10,9,1,8,LM (T),,11%
VC,07/27/2021,0,1,1,4,12,14,4,10,LM (T),High control mortality. ,29%
