Ref ID,Date,ppm,Rep,Plate,Row,Column,Total,Dead,Alive,Media,Notes,% Mortality
,07/29/2021,0.0,1,2,1,1,5,1,4,LM (T),,20%
,07/29/2021,0.0,1,2,1,2,9,0,9,LM (T),,0%
,07/29/2021,0.0,1,2,1,3,2,0,2,LM (T),Low worm count. ,0%
,07/29/2021,0.0,1,2,1,4,5,0,5,LM (T),,0%
,07/29/2021,0.0,1,2,1,5,2,0,2,LM (T),Low worm count. ,0%
,07/29/2021,0.0,1,2,1,6,6,0,6,LM (T),,0%
,07/29/2021,0.0,1,2,1,7,6,0,6,LM (T),,0%
,07/29/2021,0.0,1,2,1,8,8,0,8,LM (T),,0%
,07/29/2021,0.0,1,2,1,9,8,1,7,LM (T),,12%
,07/29/2021,0.0,1,2,1,10,11,1,10,LM (T),,9%
VC,07/29/2021,0,1,2,1,12,12,1,11,LM (T),,8%
,07/29/2021,0.0,1,2,2,1,7,1,6,LM (T),,14%
,07/29/2021,0.0,1,2,2,2,11,0,11,LM (T),,0%
,07/29/2021,0.0,1,2,2,3,6,0,6,LM (T),,0%
,07/29/2021,0.0,1,2,2,4,3,0,3,LM (T),Low worm count. ,0%
,07/29/2021,0.0,1,2,2,5,5,0,5,LM (T),,0%
,07/29/2021,0.0,1,2,2,6,10,0,10,LM (T),,0%
,07/29/2021,0.0,1,2,2,7,13,2,11,LM (T),,15%
,07/29/2021,0.0,1,2,2,8,6,0,6,LM (T),,0%
,07/29/2021,0.0,1,2,2,9,6,1,5,LM (T),,17%
,07/29/2021,0.0,1,2,2,10,11,0,11,LM (T),,0%
VC,07/29/2021,0,1,2,2,12,8,1,7,LM (T),,12%
,07/29/2021,0.0,1,2,3,1,10,0,10,LM (T),,0%
,07/29/2021,0.0,1,2,3,2,10,0,10,LM (T),,0%
,07/29/2021,0.0,1,2,3,3,8,0,8,LM (T),,0%
,07/29/2021,0.0,1,2,3,4,8,2,6,LM (T),,25%
,07/29/2021,0.0,1,2,3,5,7,2,5,LM (T),,29%
,07/29/2021,0.0,1,2,3,6,5,0,5,LM (T),,0%
,07/29/2021,0.0,1,2,3,7,11,0,11,LM (T),,0%
,07/29/2021,0.0,1,2,3,8,7,0,7,LM (T),,0%
,07/29/2021,0.0,1,2,3,9,8,1,7,LM (T),,12%
,07/29/2021,0.0,1,2,3,10,8,0,8,LM (T),,0%
VC,07/29/2021,0,1,2,3,12,8,2,6,LM (T),High control mortality. ,25%
,07/29/2021,0.0,1,2,4,1,9,0,9,LM (T),,0%
,07/29/2021,0.0,1,2,4,2,7,0,7,LM (T),,0%
,07/29/2021,0.0,1,2,4,3,20,1,19,LM (T),,5%
,07/29/2021,0.0,1,2,4,4,11,2,9,LM (T),,18%
,07/29/2021,0.0,1,2,4,5,17,0,17,LM (T),,0%
,07/29/2021,0.0,1,2,4,6,8,1,7,LM (T),,12%
,07/29/2021,0.0,1,2,4,7,9,0,9,LM (T),,0%
,07/29/2021,0.0,1,2,4,8,8,0,8,LM (T),,0%
,07/29/2021,0.0,1,2,4,9,12,0,12,LM (T),,0%
,07/29/2021,0.0,1,2,4,10,11,2,9,LM (T),,18%
VC,07/29/2021,0,1,2,4,12,15,0,15,LM (T),,0%
,07/29/2021,0.0,1,2,5,1,7,0,7,LM (T),,0%
,07/29/2021,0.0,1,2,5,2,13,1,12,LM (T),,8%
,07/29/2021,0.0,1,2,5,3,17,0,17,LM (T),,0%
,07/29/2021,0.0,1,2,5,4,10,0,10,LM (T),,0%
,07/29/2021,0.0,1,2,5,5,8,1,7,LM (T),,12%
,07/29/2021,0.0,1,2,5,6,6,2,4,LM (T),,33%
,07/29/2021,0.0,1,2,5,7,10,2,8,LM (T),,20%
,07/29/2021,0.0,1,2,5,8,13,4,9,LM (T),,31%
,07/29/2021,0.0,1,2,5,9,16,1,15,LM (T),,6%
,07/29/2021,0.0,1,2,5,10,13,0,13,LM (T),,0%
VC,07/29/2021,0,1,2,5,12,16,0,16,LM (T),,0%
,07/29/2021,0.0,1,2,6,1,22,4,18,LM (T),,18%
,07/29/2021,0.0,1,2,6,2,16,3,13,LM (T),,19%
,07/29/2021,0.0,1,2,6,3,16,0,16,LM (T),,0%
,07/29/2021,0.0,1,2,6,4,19,1,18,LM (T),,5%
,07/29/2021,0.0,1,2,6,5,2,1,1,LM (T),Low worm count. ,50%
,07/29/2021,0.0,1,2,6,6,7,0,7,LM (T),,0%
,07/29/2021,0.0,1,2,6,7,11,1,10,LM (T),,9%
,07/29/2021,0.0,1,2,6,8,11,1,10,LM (T),,9%
,07/29/2021,0.0,1,2,6,9,12,0,12,LM (T),,0%
,07/29/2021,0.0,1,2,6,10,18,2,16,LM (T),,11%
VC,07/29/2021,0,1,2,6,12,5,1,4,LM (T),,20%
,07/29/2021,0.0,1,2,7,1,6,2,4,LM (T),,33%
,07/29/2021,0.0,1,2,7,2,7,2,5,LM (T),,29%
,07/29/2021,0.0,1,2,7,3,6,3,3,LM (T),,50%
,07/29/2021,0.0,1,2,7,4,11,0,11,LM (T),,0%
,07/29/2021,0.0,1,2,7,5,16,0,16,LM (T),,0%
,07/29/2021,0.0,1,2,7,6,13,1,12,LM (T),,8%
,07/29/2021,0.0,1,2,7,7,10,0,10,LM (T),,0%
,07/29/2021,0.0,1,2,7,8,20,1,19,LM (T),,5%
,07/29/2021,0.0,1,2,7,9,11,0,11,LM (T),,0%
,07/29/2021,0.0,1,2,7,10,11,0,11,LM (T),,0%
VC,07/29/2021,0,1,2,7,12,6,0,6,LM (T),,0%
,07/29/2021,0.0,1,2,8,1,11,11,0,LM (T),,100%
,07/29/2021,0.0,1,2,8,2,4,4,0,LM (T),Low worm count. ,100%
,07/29/2021,0.0,1,2,8,3,13,5,8,LM (T),,38%
,07/29/2021,0.0,1,2,8,4,17,0,17,LM (T),,0%
,07/29/2021,0.0,1,2,8,5,7,1,6,LM (T),,14%
,07/29/2021,0.0,1,2,8,6,8,0,8,LM (T),,0%
,07/29/2021,0.0,1,2,8,7,14,0,14,LM (T),,0%
,07/29/2021,0.0,1,2,8,8,23,2,21,LM (T),,9%
,07/29/2021,0.0,1,2,8,9,36,0,36,LM (T),High worm count. ,0%
,07/29/2021,0.0,1,2,8,10,53,1,52,LM (T),High worm count. 1 L2 larva; 5 artifacts,2%
VC,07/29/2021,0,1,2,8,12,16,1,15,LM (T),,6%
